0,Whale,1
1,Fox,7
2,Python,8
3,Python,4
4,Tux,9
5,Fox,1
6,Elephant,9
7,Elephant,8
8,Python,1
9,Fox,6
10,Tux,8
11,Elephant,6
12,Elephant,6
13,Dolphin,9
14,Python,4
15,Whale,9
16,Tux,7
17,Whale,6
18,Fox,4
19,Elephant,7
20,Python,6
21,Dolphin,3
22,Tux,9
23,Elephant,7
24,Tux,1
25,Tux,10
26,Dolphin,9
27,Python,7
28,Elephant,10
29,Whale,10
30,Dolphin,10
31,Fox,5
32,Dolphin,7
33,Fox,3
34,Fox,3
35,Tux,6
36,Tux,3
37,Dolphin,5
38,Tux,5
39,Tux,1
40,Tux,2
41,Python,1
42,Dolphin,9
43,Dolphin,7
44,Tux,10
45,Python,4
46,Python,9
47,Whale,1
48,Dolphin,4
49,Whale,8
50,Fox,1
51,Python,2
52,Tux,5
53,Tux,3
54,Dolphin,10
55,Python,10
56,Tux,7
57,Elephant,10
58,Fox,10
59,Dolphin,3
60,Fox,10
61,Fox,1
62,Whale,7
63,Fox,8
64,Tux,1
65,Dolphin,5
66,Fox,5
67,Tux,7
68,Whale,3
69,Dolphin,2
70,Elephant,9
71,Dolphin,4
72,Fox,4
73,Python,3
74,Fox,5
75,Fox,5
76,Elephant,10
77,Elephant,6
78,Dolphin,6
79,Dolphin,3
80,Fox,9
81,Whale,8
82,Elephant,1
83,Whale,9
84,Elephant,1
85,Elephant,7
86,Whale,10
87,Elephant,10
88,Python,6
89,Python,9
90,Tux,10
91,Elephant,9
92,Whale,3
93,Elephant,2
94,Python,4
95,Elephant,6
96,Dolphin,5
97,Tux,5
98,Elephant,8
99,Whale,9
100,Elephant,2
101,Elephant,9
102,Elephant,4
103,Dolphin,2
104,Python,2
105,Fox,2
106,Elephant,1
107,Python,4
108,Whale,5
109,Whale,7
110,Python,5
111,Tux,6
112,Elephant,9
113,Fox,5
114,Dolphin,8
115,Whale,5
116,Elephant,8
117,Elephant,2
118,Elephant,5
119,Tux,9
120,Elephant,1
121,Fox,2
122,Python,6
123,Whale,4
124,Elephant,6
125,Fox,1
126,Whale,5
127,Fox,4
128,Python,7
129,Dolphin,6
130,Fox,3
131,Elephant,2
132,Tux,8
133,Python,1
134,Fox,2
135,Fox,5
136,Fox,8
137,Tux,3
138,Dolphin,3
139,Fox,8
140,Fox,1
141,Tux,7
142,Dolphin,2
143,Fox,7
144,Fox,6
145,Dolphin,10
146,Tux,10
147,Python,8
148,Elephant,9
149,Python,3
150,Tux,1
151,Python,4
152,Python,9
153,Python,3
154,Elephant,7
155,Fox,4
156,Tux,4
157,Fox,7
158,Whale,4
159,Tux,7
160,Python,3
161,Whale,8
162,Whale,1
163,Fox,2
164,Fox,4
165,Fox,5
166,Whale,10
167,Python,2
168,Elephant,5
169,Elephant,7
170,Whale,10
171,Fox,8
172,Whale,7
173,Fox,7
174,Python,9
175,Whale,7
176,Python,5
177,Whale,8
178,Tux,6
179,Fox,1
180,Elephant,8
181,Whale,10
182,Python,6
183,Fox,8
184,Tux,4
185,Python,4
186,Tux,1
187,Python,3
188,Whale,8
189,Python,5
190,Python,2
191,Tux,8
192,Tux,6
193,Whale,3
194,Dolphin,8
195,Whale,8
196,Dolphin,1
197,Whale,8
198,Python,10
199,Fox,2
200,Whale,9
201,Fox,9
202,Tux,5
203,Dolphin,1
204,Dolphin,7
205,Dolphin,6
206,Fox,6
207,Whale,8
208,Python,2
209,Fox,9
210,Tux,4
211,Dolphin,6
212,Fox,5
213,Fox,8
214,Whale,9
215,Elephant,8
216,Dolphin,2
217,Whale,3
218,Tux,7
219,Fox,3
220,Whale,1
221,Python,4
222,Elephant,9
223,Whale,2
224,Elephant,6
225,Dolphin,5
226,Elephant,10
227,Whale,5
228,Fox,7
229,Tux,10
230,Whale,5
231,Whale,8
232,Tux,2
233,Tux,7
234,Dolphin,10
235,Tux,10
236,Elephant,3
237,Whale,5
238,Dolphin,5
239,Python,6
240,Python,6
241,Fox,9
242,Python,1
243,Tux,7
244,Python,6
245,Elephant,1
246,Fox,5
247,Python,9
248,Dolphin,9
249,Tux,1
250,Whale,8
251,Dolphin,1
252,Python,10
253,Tux,7
254,Whale,5
255,Elephant,4
256,Whale,9
257,Whale,4
258,Whale,3
259,Elephant,7
260,Elephant,7
261,Elephant,1
262,Fox,2
263,Fox,4
264,Python,2
265,Fox,7
266,Tux,6
267,Elephant,5
268,Elephant,1
269,Dolphin,3
270,Python,7
271,Elephant,2
272,Tux,1
273,Tux,4
274,Elephant,7
275,Whale,7
276,Elephant,9
277,Python,7
278,Python,10
279,Elephant,7
280,Fox,6
281,Whale,6
282,Python,6
283,Fox,2
284,Tux,3
285,Tux,7
286,Elephant,7
287,Fox,10
288,Elephant,5
289,Tux,7
290,Dolphin,5
291,Whale,8
292,Fox,2
293,Whale,4
294,Whale,1
295,Tux,6
296,Whale,8
297,Fox,9
298,Python,4
299,Whale,2
300,Fox,3
301,Python,4
302,Whale,8
303,Elephant,7
304,Dolphin,6
305,Fox,4
306,Dolphin,2
307,Python,6
308,Elephant,3
309,Dolphin,3
310,Fox,3
311,Dolphin,2
312,Elephant,6
313,Elephant,3
314,Whale,9
315,Whale,7
316,Python,4
317,Whale,5
318,Python,5
319,Whale,10
320,Whale,7
321,Whale,9
322,Tux,6
323,Elephant,5
324,Python,1
325,Tux,3
326,Dolphin,1
327,Whale,8
328,Python,4
329,Whale,9
330,Tux,8
331,Elephant,2
332,Python,4
333,Tux,7
334,Tux,1
335,Whale,3
336,Elephant,6
337,Python,3
338,Whale,7
339,Fox,1
340,Dolphin,9
341,Elephant,9
342,Elephant,10
343,Dolphin,3
344,Tux,3
345,Tux,7
346,Whale,3
347,Python,1
348,Elephant,3
349,Tux,7
350,Dolphin,1
351,Elephant,10
352,Dolphin,5
353,Python,7
354,Fox,5
355,Python,9
356,Python,2
357,Elephant,10
358,Whale,8
359,Elephant,3
360,Dolphin,7
361,Elephant,8
362,Dolphin,9
363,Fox,8
364,Dolphin,5
365,Python,8
366,Tux,8
367,Elephant,8
368,Whale,5
369,Elephant,9
370,Dolphin,2
371,Whale,10
372,Tux,1
373,Fox,10
374,Python,5
375,Whale,7
376,Elephant,9
377,Python,5
378,Whale,1
379,Whale,4
380,Elephant,4
381,Tux,6
382,Fox,10
383,Python,9
384,Python,9
385,Elephant,10
386,Tux,4
387,Dolphin,6
388,Tux,4
389,Whale,8
390,Python,1
391,Whale,3
392,Elephant,1
393,Python,7
394,Whale,6
395,Fox,1
396,Whale,3
397,Tux,4
398,Tux,8
399,Whale,7
400,Python,2
401,Dolphin,6
402,Elephant,2
403,Whale,8
404,Python,6
405,Dolphin,9
406,Whale,7
407,Fox,4
408,Elephant,3
409,Whale,1
410,Dolphin,10
411,Elephant,5
412,Whale,3
413,Fox,3
414,Python,3
415,Tux,2
416,Dolphin,10
417,Dolphin,3
418,Dolphin,10
419,Fox,9
420,Whale,1
421,Dolphin,4
422,Python,8
423,Fox,4
424,Fox,7
425,Elephant,6
426,Elephant,2
427,Fox,6
428,Dolphin,4
429,Elephant,3
430,Fox,10
431,Fox,9
432,Dolphin,3
433,Dolphin,9
434,Whale,7
435,Dolphin,1
436,Whale,10
437,Elephant,4
438,Tux,6
439,Whale,4
440,Fox,4
441,Tux,4
442,Python,6
443,Whale,5
444,Whale,3
445,Fox,10
446,Whale,10
447,Dolphin,9
448,Python,10
449,Python,5
450,Fox,1
451,Whale,1
452,Whale,2
453,Python,1
454,Elephant,6
455,Whale,3
456,Python,7
457,Fox,5
458,Whale,3
459,Python,1
460,Tux,7
461,Fox,9
462,Fox,1
463,Fox,3
464,Elephant,8
465,Dolphin,6
466,Whale,10
467,Elephant,7
468,Whale,4
469,Elephant,4
470,Python,9
471,Python,4
472,Tux,1
473,Dolphin,2
474,Elephant,7
475,Elephant,7
476,Fox,10
477,Dolphin,8
478,Python,8
479,Dolphin,10
480,Dolphin,10
481,Elephant,3
482,Dolphin,8
483,Dolphin,2
484,Fox,3
485,Fox,4
486,Dolphin,7
487,Whale,1
488,Tux,3
489,Elephant,9
490,Python,9
491,Tux,8
492,Dolphin,7
493,Python,1
494,Dolphin,8
495,Whale,2
496,Fox,1
497,Tux,6
498,Fox,2
499,Whale,6
500,Fox,6
501,Fox,5
502,Elephant,7
503,Dolphin,6
504,Python,6
505,Fox,7
506,Tux,3
507,Dolphin,5
508,Tux,6
509,Whale,3
510,Fox,2
511,Elephant,10
512,Tux,3
513,Dolphin,3
514,Dolphin,5
515,Dolphin,1
516,Dolphin,2
517,Fox,7
518,Whale,10
519,Dolphin,3
520,Fox,6
521,Tux,3
522,Fox,2
523,Elephant,4
524,Whale,10
525,Dolphin,10
526,Elephant,2
527,Dolphin,5
528,Python,7
529,Python,4
530,Dolphin,6
531,Elephant,4
532,Dolphin,4
533,Dolphin,9
534,Python,6
535,Whale,2
536,Whale,4
537,Whale,3
538,Fox,4
539,Fox,9
540,Whale,5
541,Dolphin,5
542,Whale,3
543,Elephant,5
544,Whale,1
545,Whale,8
546,Python,7
547,Python,7
548,Python,7
549,Fox,7
550,Fox,8
551,Dolphin,3
552,Python,6
553,Elephant,2
554,Python,5
555,Tux,4
556,Elephant,9
557,Fox,7
558,Elephant,5
559,Fox,2
560,Tux,2
561,Elephant,9
562,Elephant,6
563,Whale,7
564,Elephant,9
565,Fox,8
566,Elephant,3
567,Elephant,4
568,Tux,10
569,Whale,8
570,Fox,1
571,Elephant,6
572,Elephant,3
573,Python,9
574,Dolphin,4
575,Python,4
576,Fox,9
577,Fox,10
578,Python,7
579,Elephant,6
580,Python,10
581,Fox,3
582,Dolphin,8
583,Whale,7
584,Tux,10
585,Dolphin,9
586,Dolphin,9
587,Dolphin,9
588,Dolphin,6
589,Fox,3
590,Python,9
591,Whale,4
592,Elephant,8
593,Tux,1
594,Whale,3
595,Fox,8
596,Elephant,7
597,Tux,6
598,Fox,9
599,Tux,7
600,Python,6
601,Elephant,8
602,Whale,1
603,Elephant,2
604,Dolphin,3
605,Whale,2
